complaint_id,crime_type,city,state,latitude,longitude,amount,complaint_hour,day_of_week,complaint_date,withdrawal_location,withdrawal_city,withdrawal_lat,withdrawal_lon,withdrawal_hour,distance_km,withdrawal_occurred
C00001,KYC Update Fraud,Bengaluru,Karnataka,12.9716,77.5946,48451,20,Tuesday,2026-05-05,ATM-BEN-04,Bengaluru,12.919575,77.59114,0,6.57,1
C00002,UPI Fraud,Patna,Bihar,25.5941,85.1376,109672,0,Friday,2026-02-20,ATM-PAT-02,Patna,25.650859,85.187949,3,3.67,1
C00003,Online Shopping Fraud,Jaipur,Rajasthan,26.9124,75.7873,44687,12,Saturday,2026-05-23,CSC-JAI-05,Jaipur,26.901502,75.726194,13,2.03,0
C00004,UPI Fraud,Mumbai,Maharashtra,19.076,72.8777,33554,22,Tuesday,2026-02-17,CSC-MUM-02,Mumbai,19.047782,72.897153,0,15.6,0
C00005,SIM Swap Fraud,Jalandhar,Punjab,31.326,75.5762,31258,23,Friday,2026-01-02,CSC-JAL-04,Jalandhar,31.28292,75.515938,3,3.04,1
C00006,UPI Fraud,Amritsar,Punjab,31.634,74.8723,74849,0,Wednesday,2026-06-10,ATM-AMR-02,Amritsar,31.583535,74.816649,4,1.31,1
C00007,Phishing,Jalandhar,Punjab,31.326,75.5762,34488,19,Wednesday,2026-02-04,CSC-JAL-01,Jalandhar,31.320319,75.523676,23,7.72,1
C00008,Loan Scam,Mumbai,Maharashtra,19.076,72.8777,43505,2,Thursday,2026-05-14,BANK-MUM-06,Mumbai,19.008727,72.937774,5,11.73,0
C00009,UPI Fraud,Ludhiana,Punjab,30.901,75.8573,38128,17,Sunday,2026-08-23,BANK-LUD-03,Ludhiana,30.878635,75.809067,18,2.64,1
C00010,Investment Fraud,Ludhiana,Punjab,30.901,75.8573,137233,6,Thursday,2026-07-09,BANK-LUD-05,Ludhiana,30.949649,75.871822,11,0.44,0
C00011,Phishing,Delhi,Delhi,28.6139,77.209,103227,5,Tuesday,2026-03-10,BANK-DEL-03,Delhi,28.661899,77.24764,6,11.01,0
C00012,Job Scam,Chandigarh,Chandigarh,30.7333,76.7794,31276,13,Wednesday,2026-09-16,BANK-CHA-03,Chandigarh,30.752296,76.760477,14,1.08,1
C00013,Job Scam,Jalandhar,Punjab,31.326,75.5762,66990,20,Tuesday,2026-03-24,CSC-JAL-01,Jalandhar,31.320319,75.523676,2,17.03,0
C00014,UPI Fraud,Jalandhar,Punjab,31.326,75.5762,38301,16,Thursday,2026-07-09,CSC-JAL-01,Jalandhar,31.320319,75.523676,20,16.21,1
C00015,Phishing,Chandigarh,Chandigarh,30.7333,76.7794,142895,20,Wednesday,2026-07-01,ATM-CHA-02,Chandigarh,30.784608,76.762618,0,17.58,0
C00016,UPI Fraud,Jaipur,Rajasthan,26.9124,75.7873,121657,20,Thursday,2026-04-02,BANK-JAI-06,Jaipur,26.925824,75.782827,0,2.21,1
C00017,Investment Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,23316,21,Monday,2026-04-13,CSC-LUC-02,Lucknow,26.792737,81.00007,0,4.25,1
C00018,Loan Scam,Jaipur,Rajasthan,26.9124,75.7873,50799,22,Saturday,2026-05-23,BANK-JAI-06,Jaipur,26.925824,75.782827,1,17.67,0
C00019,Phishing,Amritsar,Punjab,31.634,74.8723,31835,2,Thursday,2026-05-14,ATM-AMR-06,Amritsar,31.664243,74.900485,3,14.22,1
