withdrawal_location,withdrawal_city,latitude,longitude,risk_score,risk_level,total_cases,withdrawals,average_amount,average_distance,historical_withdrawal_rate,peak_risk_hour
CSC-JAL-03,Jalandhar,31.342593,75.626839,66.86071582756337,MEDIUM,128,91,100428.453125,8.9084375,71.09375,2
ATM-BEN-02,Bengaluru,12.913591,77.592639,65.34197397582919,MEDIUM,111,79,98973.1081081081,8.622072072072072,71.17117117117117,14
BANK-LUC-03,Lucknow,26.884304,80.923825,65.10038334443188,MEDIUM,113,79,102543.61061946902,8.900619469026548,69.91150442477876,1
CSC-DEL-02,Delhi,28.640243,77.169746,64.59326163015363,MEDIUM,116,84,90492.75,8.803275862068965,72.41379310344827,4
ATM-DEL-01,Delhi,28.608616,77.176793,64.56057189473678,MEDIUM,134,91,86340.9104477612,8.38455223880597,67.91044776119402,1
ATM-AMR-01,Amritsar,31.567502,74.840804,63.89339618281414,MEDIUM,88,60,111841.65909090909,8.572613636363636,68.18181818181817,2
BANK-PAT-04,Patna,25.554093,85.086124,63.66657191899684,MEDIUM,129,92,84613.03100775194,9.223798449612405,71.31782945736434,23
CSC-JAL-04,Jalandhar,31.28292,75.515938,63.02719182638939,MEDIUM,130,88,92941.15384615384,9.539615384615386,67.6923076923077,1
CSC-AMR-03,Amritsar,31.688904999999995,74.814471,62.84235776785373,MEDIUM,96,69,100588.90625,9.410208333333333,71.875,4
CSC-NOI-04,Noida,28.529738999999996,77.358083,62.72009788584005,MEDIUM,89,67,85789.19101123596,8.492359550561797,75.28089887640449,2
CSC-JAL-01,Jalandhar,31.320319,75.523676,62.64474537577606,MEDIUM,139,90,91225.58992805755,9.3931654676259,64.74820143884892,4
ATM-CHA-01,Chandigarh,30.771530000000002,76.847331,62.64145477868881,MEDIUM,83,64,91789.0,9.192650602409639,77.10843373493977,2
BANK-JAL-02,Jalandhar,31.267032,75.547245,62.59492380845295,MEDIUM,118,83,87396.17796610169,9.191101694915254,70.33898305084746,2
CSC-JAI-01,Jaipur,26.902381,75.798995,62.26710580344613,MEDIUM,104,72,93230.80769230769,8.848461538461539,69.23076923076923,5
ATM-BEN-01,Bengaluru,12.90971,77.647521,62.007271765241875,MEDIUM,118,82,87035.47457627118,9.266610169491527,69.49152542372882,3
CSC-NOI-03,Noida,28.535391999999998,77.444856,61.76288231501075,MEDIUM,101,65,106530.29702970297,9.033762376237624,64.35643564356435,2
ATM-AMR-05,Amritsar,31.634749999999997,74.806015,61.50638165674589,MEDIUM,78,62,88214.1282051282,9.74,79.48717948717949,4
CSC-NOI-02,Noida,28.588191,77.365055,61.48516054591283,MEDIUM,101,63,112611.30693069307,9.28148514851485,62.37623762376238,0
ATM-CHA-02,Chandigarh,30.784608000000002,76.762618,61.218453438774155,MEDIUM,76,57,101723.06578947368,9.98,75.0,1
BANK-LUD-04,Ludhiana,30.845308999999997,75.84049,61.00128800371253,MEDIUM,102,75,84472.92156862745,9.607058823529412,73.52941176470588,1
CSC-HYD-06,Hyderabad,17.392549,78.499082,60.79689929571039,MEDIUM,83,61,88850.2048192771,9.03132530120482,73.49397590361446,4
BANK-LUD-03,Ludhiana,30.878634999999996,75.809067,60.355054146255775,MEDIUM,107,73,86181.21495327103,9.130280373831777,68.22429906542055,1
BANK-NOI-01,Noida,28.474766,77.448839,60.35216957912094,MEDIUM,97,69,86233.50515463918,9.258969072164948,71.1340206185567,2
BANK-MUM-06,Mumbai,19.008727,72.937774,60.27159014477252,MEDIUM,86,64,84065.83720930232,9.251860465116279,74.4186046511628,2
ATM-PAT-01,Patna,25.623198,85.075842,59.97042468371688,MEDIUM,122,74,96143.4262295082,9.325000000000001,60.65573770491803,23
BANK-CHA-04,Chandigarh,30.713038,76.803225,59.66029122706326,MEDIUM,72,50,94124.70833333333,8.534444444444444,69.44444444444444,1
ATM-LUD-01,Ludhiana,30.893889,75.826247,59.53916199520588,MEDIUM,90,57,102451.35555555555,8.955111111111112,63.33333333333333,0
CSC-CHA-06,Chandigarh,30.752197,76.78418,59.38528962584888,MEDIUM,88,58,98091.40909090909,9.126477272727273,65.9090909090909,2
ATM-MUM-01,Mumbai,19.077075,72.822598,59.38215522189932,MEDIUM,89,55,102144.40449438202,8.585393258426967,61.79775280898876,0
CSC-HYD-02,Hyderabad,17.411581,78.516513,59.34710508431329,MEDIUM,93,64,94034.0752688172,9.74537634408602,68.81720430107528,1
ATM-DEL-04,Delhi,28.658952000000003,77.251706,59.2738766765923,MEDIUM,119,73,94396.68907563025,9.522773109243698,61.34453781512605,5
BANK-LUD-05,Ludhiana,30.949649,75.871822,59.26589107582391,MEDIUM,92,59,86449.0,7.896413043478261,64.13043478260869,3
CSC-JAI-05,Jaipur,26.901502,75.726194,59.13985669830083,MEDIUM,102,60,104883.12745098039,9.006470588235294,58.82352941176471,1
ATM-LUD-02,Ludhiana,30.937233,75.809652,59.02156028966307,MEDIUM,123,74,96210.71544715448,9.774552845528454,60.16260162601627,23
BANK-CHA-03,Chandigarh,30.752295999999998,76.760477,58.896200404550946,MEDIUM,78,56,87453.07692307692,9.216282051282052,71.7948717948718,22
CSC-BEN-05,Bengaluru,12.924718000000002,77.598474,58.59919295850095,MEDIUM,94,62,88000.44680851063,8.947659574468085,65.95744680851064,3
BANK-JAI-02,Jaipur,26.873105,75.856955,58.42225413059344,MEDIUM,71,50,91069.52112676056,9.08,70.4225352112676,4
BANK-AMR-04,Amritsar,31.56845,74.815417,58.39685323273458,MEDIUM,77,54,88883.24675324676,9.161168831168832,70.12987012987013,21
ATM-PAT-02,Patna,25.650859,85.187949,58.39634277711347,MEDIUM,131,76,93018.7786259542,9.750839694656488,58.01526717557252,2
ATM-JAI-04,Jaipur,26.863798,75.739697,58.034813424152986,MEDIUM,83,54,95910.46987951807,9.14855421686747,65.06024096385542,22
ATM-BEN-03,Bengaluru,13.038518000000002,77.599179,58.02872717232476,MEDIUM,96,62,95386.77083333333,9.733229166666666,64.58333333333334,2
CSC-CHA-05,Chandigarh,30.794432,76.800125,57.945217960786806,MEDIUM,80,48,98689.075,8.077375,60.0,1
CSC-LUC-05,Lucknow,26.899319,80.91307400000001,57.866629746914334,MEDIUM,111,69,85744.35135135135,9.191081081081082,62.16216216216216,1
CSC-MUM-03,Mumbai,19.033848,72.860048,57.717494791916444,MEDIUM,76,51,96682.98684210527,9.477368421052631,67.10526315789474,0
CSC-LUC-01,Lucknow,26.897209,80.877807,57.295355284215255,MEDIUM,101,66,86255.58415841585,9.73039603960396,65.34653465346535,3
ATM-BEN-04,Bengaluru,12.919575,77.59114,57.2447263063716,MEDIUM,97,59,90275.47422680413,8.826907216494845,60.824742268041234,18
BANK-HYD-04,Hyderabad,17.440946,78.479908,57.16904517517183,MEDIUM,85,54,99338.35294117648,9.680235294117645,63.52941176470588,0
ATM-PAT-03,Patna,25.596082,85.106587,56.887295094098285,MEDIUM,120,71,84352.525,9.37975,59.166666666666664,2
CSC-JAI-03,Jaipur,26.911492,75.82311,56.2951644054059,MEDIUM,85,54,87682.3294117647,9.045176470588236,63.52941176470588,0
BANK-DEL-03,Delhi,28.661899,77.24764,56.247553571328865,MEDIUM,104,63,92854.41346153847,9.941249999999998,60.57692307692307,1
BANK-HYD-03,Hyderabad,17.454321,78.507683,56.09550888149157,MEDIUM,80,55,76991.1125,9.103874999999999,68.75,1
BANK-LUC-04,Lucknow,26.837567,80.939721,55.267716306429605,MEDIUM,102,62,86030.92156862745,9.753039215686274,60.78431372549019,4
CSC-LUC-02,Lucknow,26.792737,81.00007,54.94752145751022,MEDIUM,103,58,86061.41747572816,8.914466019417475,56.310679611650485,0
ATM-NOI-05,Noida,28.569798,77.396457,54.722291988378025,MEDIUM,76,50,75215.65789473684,8.729078947368421,65.78947368421053,1
ATM-AMR-02,Amritsar,31.583534999999998,74.816649,54.6200590280693,MEDIUM,73,50,81028.97260273973,9.805479452054794,68.4931506849315,6
BANK-JAI-06,Jaipur,26.925824,75.782827,54.58816632333834,MEDIUM,86,53,90225.46511627907,9.794186046511628,61.627906976744185,0
CSC-MUM-05,Mumbai,19.134589,72.891552,54.4525245585403,MEDIUM,75,48,90424.53333333334,9.821466666666668,64.0,2
ATM-AMR-06,Amritsar,31.664243,74.900485,54.02942329793663,MEDIUM,75,47,99863.13333333333,10.617466666666667,62.66666666666667,3
CSC-MUM-02,Mumbai,19.047782,72.897153,53.61103539367241,MEDIUM,80,49,81421.9375,9.048874999999999,61.25000000000001,0
BANK-HYD-01,Hyderabad,17.450011,78.546748,53.370720897968724,MEDIUM,84,48,94708.41666666667,9.677142857142858,57.14285714285714,3
ATM-HYD-05,Hyderabad,17.346458,78.464032,52.997011471819974,MEDIUM,81,47,89102.69135802469,9.385802469135802,58.0246913580247,0
ATM-MUM-04,Mumbai,19.081513,72.916708,51.43560079486864,MEDIUM,79,45,87802.34177215189,9.723670886075949,56.9620253164557,3
